day,month,Day_week,year,open_norm,high_norm,low_norm,close_norm
30,12,2,2008,0.012397473,0.024122095,0.034644603,0.023759055
31,12,3,2008,0.031615216,0.006771753,0.014824861,-0.004800801
1,1,4,2009,-0.006160859,0.028322048,0.012465438,0.042592593
2,1,5,2009,0.03882922,0.008050403,0.026444551,-0.007609149
5,1,1,2009,-0.009661413,0.011067708,0.004522981,0.024394555
6,1,2,2009,0.023197298,0.001223439,0.005959344,-0.002243313
7,1,3,2009,0.008132361,0.01209081,-0.07435768,-0.058154618
8,1,4,2009,0,0,0,0
9,1,5,2009,-0.072622232,-0.044481159,0.007703612,0.014552633
12,1,1,2009,0.002538013,-0.03679812,-0.016183285,-0.045972851
13,1,2,2009,-0.046166947,0.016225173,-0.021494322,0.034528552
14,1,3,2009,0.074653155,0.042553673,0.083663197,0.037479369
15,1,4,2009,-0.022789016,-0.051091561,-0.044532131,-0.039505955
16,1,5,2009,-0.001424501,0.006936337,0.01559882,0.007982333
19,1,1,2009,0.010215821,0.000863911,-0.002463054,-0.00887763
20,1,2,2009,-0.021409375,-0.019375795,-0.012252504,-0.011973566
21,1,3,2009,-0.004352279,-0.007273401,-0.017521932,-0.022233098
22,1,4,2009,-0.006592019,-0.008400028,-0.007969084,0.004218806
23,1,5,2009,-0.01557757,-0.010541921,-0.009267101,-0.019676256
26,1,1,2009,0,0,0,0
27,1,2,2009,9.56E-05,0.030535803,0.021809212,0.040045517
28,1,3,2009,0.019503334,0.020423234,0.019503334,0.024862071
29,1,4,2009,0.036900715,0.005653806,0.018919236,0.001680863
30,1,5,2009,-0.010897827,0.004677521,-0.002438912,0.00943332
2,2,1,2009,0.012115116,-0.00893097,-0.009940954,-0.030731214
3,2,2,2009,-0.023330397,-0.001106669,0.000582411,0.009571929
4,2,3,2009,0.01116918,0.004725513,0.008521537,-0.001101928
5,2,4,2009,-0.002149702,-0.015527601,-0.025440946,-0.021074646
6,2,5,2009,-0.023605986,0.004663177,0.009214952,0.025988966
9,2,1,2009,0.026782151,0.01690519,0.022463207,0.016498101
10,2,2,2009,0.017648135,0.006667562,0.014141414,0.0060104
11,2,3,2009,-0.00779495,-0.014002489,-0.007447483,-0.01134482
12,2,4,2009,-0.008444837,-0.008498264,-0.011882227,-0.013693049
13,2,5,2009,-0.00116449,0.005319995,0.007824401,0.005828629
16,2,1,2009,0.000457195,-0.006965332,-0.023703195,-0.024388575
17,2,2,2009,-0.02579687,-0.029036005,-0.036195168,-0.029721956
18,2,3,2009,-0.035861713,-0.016160053,0.000486772,-0.00024101
19,2,4,2009,0.008076483,0.01575798,0.008076483,0.024516658
20,2,5,2009,0.01988465,-0.008097071,-0.0174232,-0.029200687
23,2,1,2009,0,0,0,0
24,2,2,2009,-0.025554267,-0.024016279,-0.01159221,-0.005089922
25,2,3,2009,0.00182114,0.021479829,0.025170829,0.024239914
26,2,4,2009,0.017402686,0.007547349,0.010955451,0.003972124
27,2,5,2009,0.002858776,-0.008009046,-0.020738432,-0.00777067
2,3,1,2009,-0.012922843,-0.013297872,-0.009058636,-0.024951053
3,3,2,2009,-0.016990759,-0.016509434,-0.014799259,-0.019516615
4,3,3,2009,-0.018533026,-0.000929868,0.002206841,0.013486513
5,3,4,2009,0.01591459,0.000955227,0.000750676,-0.009043864
6,3,5,2009,-0.017899673,0.018915017,-0.003450518,0.031308283
9,3,1,2009,0.027526376,-0.012992315,0.010763749,-0.024498457
10,3,2,2009,0,0,0,0
11,3,3,2009,0,0,0,0
12,3,4,2009,-0.003844376,0.022287647,0.016283977,0.02254301
13,3,5,2009,0.018685425,0.041723194,0.018685425,0.056057822
16,3,1,2009,0.046396202,0.013297386,0.038723445,0.012452217
17,3,2,2009,0.012809056,-0.003382187,-0.004201196,-0.017114693
18,3,3,2009,-0.007013575,0.014886878,0.013027655,0.011777154
19,3,4,2009,0.002825245,0.007111329,0.007162307,0.018142136
20,3,5,2009,0.011087381,-0.007968657,0.003430727,-0.004398892
23,3,1,2009,0.001662847,0.023026976,0.009306012,0.02545585
24,3,2,2009,0.025978105,0.02161443,0.014581838,-0.001224793
25,3,3,2009,-0.001071413,-0.008795901,0.005859461,0.007467262
26,3,4,2009,0.015847652,0.04178513,0.014200611,0.037863803
27,3,5,2009,0.033592622,-0.004134965,0.011595899,0.000125657
30,3,1,2009,-0.016636091,-0.02071915,-0.036060165,-0.050424039
31,3,2,2009,-0.026499894,-0.009709561,0.013692236,0.022647584
1,4,3,2009,0.00929878,0.022092824,0.004012718,0.026350973
2,4,4,2009,0.036571946,0.053137567,0.049226872,0.047966216
3,4,5,2009,0,0,0,0
6,4,1,2009,0.051309271,0.01795907,0.027892261,0.003508491
7,4,2,2009,0,0,0,0
8,4,3,2009,-0.012829905,0.013754298,-0.015207971,0.026671195
